20220621/133002.100-0400

              1              2              3              4              5              6
        gravity     total_mass   total_radius      core_mass    core_radius      core_temp
   2.104090E+14       1.406531      10.656808       1.400000      10.000000   9.350000E+07


              1              2              3              4              5              6              7
          model           time        lg_Mdot        lg_Teff       lg_Lsurf         lg_Lnu        lg_Lnuc
              1  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              2  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              3  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              4  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              5  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              6  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              7  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              8  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
              9  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             10  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             11  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             12  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             13  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             14  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             15  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             16  -4.383000E+03      17.000000       5.986239      32.853032      30.216143      35.485220
             17  -4.383000E+03      17.000000       5.986239      32.853033      30.216143      35.485220
             18  -4.382999E+03      17.000000       5.986240      32.853035      30.216144      35.485220
             19  -4.382998E+03      17.000000       5.986242      32.853046      30.216144      35.485220
             20  -4.382993E+03      17.000000       5.986257      32.853106      30.216146      35.485220
             21  -4.382980E+03      17.000000       5.986327      32.853382      30.216150      35.485220
             22  -4.382939E+03      17.000000       5.986587      32.854426      30.216165      35.485220
             23  -4.382818E+03      17.000000       5.987473      32.857966      30.216209      35.485220
             24  -4.382455E+03      17.000000       5.990318      32.869349      30.216348      35.485220
             25  -4.381366E+03      17.000000       5.999098      32.904467      30.216810      35.485220
             26  -4.378097E+03      17.000000       6.023587      33.002424      30.218497      35.485220
             27  -4.368290E+03      17.000000       6.070563      33.190329      30.225226      35.485220
             28  -4.344498E+03      17.000000       6.119229      33.384994      30.242542      35.485220
             29  -4.301525E+03      17.000000       6.154167      33.524743      30.267258      35.485220
             30  -4.217362E+03      17.000000       6.182790      33.639235      30.305960      35.485220
             31  -4.053099E+03      17.000000       6.206883      33.735606      30.373144      35.485220
             32  -3.721056E+03      17.000000       6.227597      33.818463      30.480756      35.485220
             33  -3.083932E+03      17.000000       6.242663      33.878728      30.597185      35.485220
             34  -1.893219E+03      17.000000       6.250802      33.911282      30.673911      35.485220
             35   0.000000E+00      17.000000       6.253097      33.920465      30.697246      35.485220
             36   0.000000E+00       0.000000       6.253097      33.920465      30.697246       0.000000
             37   5.792256E+01       0.000000       6.187939      33.659834      30.608664       0.000000
             38   6.510000E+01       0.000000       6.183706      33.642900      30.602536       0.000000
             39   6.510000E+01       0.000000       6.183706      33.642900      30.602536       0.000000
             40   7.227744E+01       0.000000       6.179712      33.626926      30.596736       0.000000
             41   9.380977E+01       0.000000       6.169747      33.587065      30.580892       0.000000
             42   1.584067E+02       0.000000       6.148806      33.503299      30.542245       0.000000
             43   2.357000E+02       0.000000       6.131596      33.434459      30.505157       0.000000
             44   2.357000E+02       0.000000       6.131596      33.434459      30.505157       0.000000
             45   3.129933E+02       0.000000       6.118252      33.381085      30.473397       0.000000
             46   5.448730E+02       0.000000       6.087841      33.259442      30.396510       0.000000
             47   7.516000E+02       0.000000       6.066494      33.174052      30.345244       0.000000
             48   7.516000E+02       0.000000       6.066494      33.174052      30.345244       0.000000
             49   9.295000E+02       0.000000       6.050758      33.111107      30.311849       0.000000
             50   9.295000E+02       0.000000       6.050758      33.111107      30.311849       0.000000
             51   1.107400E+03       0.000000       6.037063      33.056326      30.286531       0.000000
             52   1.500500E+03       0.000000       6.013694      32.962850      30.251125       0.000000
             53   1.500500E+03       0.000000       6.013694      32.962850      30.251125       0.000000
             54   1.582900E+03       0.000000       6.009946      32.947860      30.246252       0.000000
             55   1.582900E+03       0.000000       6.009946      32.947860      30.246252       0.000000
             56   1.665300E+03       0.000000       6.006566      32.934339      30.242032       0.000000
             57   1.912500E+03       0.000000       5.998410      32.901714      30.232486       0.000000
             58   2.654100E+03       0.000000       5.986372      32.853565      30.219873       0.000000
             59   3.039700E+03       0.000000       5.984075      32.844374      30.217613       0.000000
             60   3.039700E+03       0.000000       5.984075      32.844374      30.217613       0.000000
             61   3.425300E+03       0.000000       5.982916      32.839740      30.216500       0.000000
             62   4.582100E+03       0.000000       5.981921      32.835761      30.215557       0.000000
             63   5.312100E+03       0.000000       5.981816      32.835341      30.215458       0.000000
